variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
edge_selector_buffer,1,interior,340,340,9,331,149.63529411764705,146.7764705882353,0.9855846132077739,0.018544798200771158,0.026021822136891987,0.003167907550520587,29270138.0,-10.18442514794117,37.45249191234263,-9.592165856367295,2689.9397,119.99884073529412,0.8000508995588244,-8.589865701176471e-07,0.27898445258823507,-14.426763762941174,0.040790713547458286,-23565.78585245604,3290.774012737068,0.0015274693000000025
edge_selector_buffer,1,lateral_surface,688,688,4,684,105.95348837209302,101.97093023255815,0.7733544077437805,0.024056172088347948,0.0331721061040541,0.004092334915886625,32079534.0,-13.521366940188939,38.5744910049076,-9.080659409870181,1444.1765,119.99936424418644,0.800050201453489,-4.7141511463662777e-07,0.27047725505813563,-9.30246201010174,0.026302091680110388,-23401.44212009938,4048.881586010401,0.0011118912266712905
edge_selector_buffer,1,measurement_core,19,19,1,18,178.0,178.0,1.0001159625964653,0.015553772259193884,0.021996355675014397,0.003728833249473686,17573052.0,-0.7093168877192985,33.99318662105291,-22.90632949191705,1302.8828,119.99725157894738,0.8000515278947369,-2.036123547368421e-06,0.2702042163157894,-21.95280752631579,0.06207010096530997,-23116.08556298842,3138.023151300276,0.0009664209800000004
edge_selector_buffer,1,top_cap_zone,12,12,12,0,144.33333333333334,99.33333333333333,0.9903266413588283,0.14087302424463777,0.19893663347658588,0.05223232166666667,38763512.0,58.87407622222222,97.01380460039972,1.6512042277460657,4354.1919,120.06774999999999,0.7998979266666666,5.0161910033333334e-05,0.24499192333333333,-123.24489666666666,0.34846673576438986,-43930.346635743335,10847.411639098766,0.0038687521407927343
gap_2dp,0,bottom_cap_zone,146,0,0,0,153.4794520547945,107.10958904109589,0.9883860602225032,0.03118571949526561,0.0438553651930095,0.020146593356164387,30359448.0,22.643753908095885,16.208410801702136,1.746342903550967,4596.9561,119.999040890411,0.800029738424658,-7.102212405479453e-07,0.11235771712328786,-32.74369417123286,0.09258061415376247,-10870.306878607953,5729.870618284216,0.00045171257986741846
gap_2dp,0,edge_ring,1160,0,0,0,86.71724137931035,64.3551724137931,0.6017661583801305,0.04905819117842571,0.0631922348439917,0.032169478200861974,36844512.0,37.77388883273273,34.983394639808765,1.3351211196007324,4672.1914,119.99832662068958,0.8000153774137921,-1.2393494086586217e-06,0.10765232482758602,-59.27922291913793,0.16760805410994786,-19800.07587129666,15609.485622660879,0.0019636408656360125
gap_2dp,0,interior,565,0,0,0,147.73097345132743,146.09026548672566,0.9837405694808916,0.027229728977216636,0.03829753839513543,0.004974314238938073,36624692.0,21.26166619116814,15.896684447531552,1.8890137961750368,4806.7661,119.99895920353968,0.8000298778938052,-7.706909527610622e-07,0.11402450716814161,-31.059003860176958,0.08781726451945406,-11665.304690849483,5239.979077128294,0.0005077301496768469
gap_2dp,0,lateral_surface,3580,0,0,0,94.39776536312849,93.54972067039107,0.6766451974426635,0.029144271171480666,0.04044832290399558,-0.00615468226852429,37210476.0,31.122578658304853,16.547848425268914,0.952691950828656,5040.1255,119.99962368714979,0.8000199643240181,-2.7880248653351964e-07,0.10549809167597224,-36.56869486229045,0.10339554881766463,-10108.914971692331,5284.905939870883,0.000968458151676648
gap_2dp,0,measurement_core,222,0,0,0,161.33333333333334,161.33333333333334,1.000046627799168,0.02503480251987815,0.035329982658565046,-0.022002488927927905,29194108.0,24.14188619274777,10.875932102833117,1.370105313438426,4885.5605,119.9993321171172,0.8000237535585583,-4.945210268918922e-07,0.11108734009009039,-30.684481094594585,0.08675832634739392,-9912.724373738763,5896.026085099659,0.00033110888043190163
gap_2dp,0,top_cap_zone,244,0,0,0,123.77049180327869,96.28688524590164,0.766182163515195,0.0313442354058799,0.04232856033317167,0.03537392898360655,36442632.0,54.85627937039618,45.87223942336805,0.9367961374398057,4677.6001,120.00420512295088,0.7999891722950816,3.1166875534057375e-06,0.10462555286885244,-85.07584187581959,0.24054627585153754,-26924.450746670096,15961.834366873443,0.0005751965200000026
