variant,region,return_status,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,top_cap_zone,1,314,0,0,0,147.2388535031847,104.09235668789809,0.9874056736401033,0.10977241279681142,0.15469307800943238,0.032412544830891704,36410684.0,70.22342683757958,69.32829422431078,1.0244668550174951,9.7044758e-05,120.04377054140117,0.7999196522292993,3.241445269965286e-05,0.284077633184711,-116.2570187643311,0.32870897647044595,-25183.725491897272,11883.283290180729,0.0037914051661947254
edge_selector_buffer,bottom_cap_zone,-1,261,261,0,261,147.26819923371647,105.26819923371647,0.9869680847073764,0.02630921442551955,0.03612606820861016,0.00012116049344827914,31414006.0,-19.9798954359885,40.70466436491209,-3.9605337596002106,35.551426,119.99893839080451,0.800051407892717,-7.868038226053639e-07,0.2602049968199239,-6.397057846440618,0.01808725494147011,-25780.832593940224,3809.0997619742498,0.0003965972191487221
edge_selector_buffer,bottom_cap_zone,0,114,0,0,0,148.44736842105263,104.51754385964912,0.9875874905253541,0.03316823787310468,0.04647654386547743,0.0273040629385965,32342104.0,26.421463085350872,12.158908293868276,0.912262932365257,4596.9512,119.9998405263158,0.8000255192105267,-1.1819320877192982e-07,0.32509310210526327,-33.96181253508773,0.09602476268654282,-9400.666021771578,5452.873638992863,0.0005012671500000016
edge_selector_buffer,bottom_cap_zone,1,21,0,0,0,149.42857142857142,113.71428571428571,0.9889761179520784,0.032617600472597486,0.04598582842248245,0.008370673952380954,32391148.0,8.23489788079365,33.367148181469574,5.636069873743834,1.2387609e-06,119.9947976190476,0.8000491666666663,-3.853625185714285e-06,0.29329148238095243,-29.995668000000006,0.08481075320548662,-17813.894470347142,2118.3075713782077,0.0004592747406261613
edge_selector_buffer,edge_ring,-3,32,32,32,0,92.125,67.5,0.6850405055707741,0.13303649726434524,0.18337625309968067,0.050759685218749996,39676740.0,47.44408370895833,93.3285105735797,2.0114329029851192,8675.7295,119.99384624999998,0.8000064625000001,-4.561138705e-06,0.26447573875,-107.54204540625003,0.3040679698202655,-33315.28584834531,9481.041615353215,0.0039917059328866645
edge_selector_buffer,edge_ring,-1,856,856,0,856,95.76168224299066,68.29906542056075,0.7116273301463154,0.028351850553104248,0.03914885421398904,0.003611828511320097,33934572.0,-20.06648733417989,41.87179229540973,-4.8268454677580275,41.741051,119.99864789719639,0.8000507567756977,-1.0007015341121515e-06,0.26079605990653715,-4.01547642082477,0.011353492101893521,-25438.283231177942,3928.929885082923,0.001119207964564464
edge_selector_buffer,edge_ring,0,612,0,0,0,94.95424836601308,68.14379084967321,0.7015437087004258,0.04215528980976506,0.05941098777289416,0.024057980040849646,33970840.0,34.718814001868175,19.972046857881296,0.8286222819318261,4271.8604,120.0,0.8000165143137276,0.0,0.3223435679738565,-46.78769940849672,0.1322891034660907,-7796.88237458126,4867.179066837335,0.0018893855098670537
edge_selector_buffer,edge_ring,1,964,0,0,0,96.09128630705395,68.02489626556017,0.7152913538186458,0.12747222827362142,0.17615995987473174,0.04580410235892116,52462104.0,50.73843336654216,67.0811316195778,1.6385148690923188,9.1797308e-05,120.00169136929482,0.7999959846887973,1.2497022143672306e-06,0.2723203261825672,-93.86782782261419,0.26540503046636066,-32754.68782559762,15094.367197345382,0.004954072926286194
edge_selector_buffer,interior,-3,9,9,9,0,148.66666666666666,147.66666666666666,0.9772382302847983,0.06134011854607862,0.08541785513246437,-0.01060937153811111,8286191.0,35.660943644444444,73.97758297404745,2.1650201127042115,2689.9397,119.98094444444445,0.8000438377777779,-1.4111258222222221e-05,0.27236526999999994,-83.25018900000002,0.23538436395512566,-15648.007452135553,1458.2182499269472,0.0015274693000000025
edge_selector_buffer,interior,-1,331,331,0,331,149.66163141993957,146.75226586102718,0.985811554133172,0.017381179218572466,0.024406824260879444,0.003542516347492448,29270138.0,-11.430975961027183,36.45936254812709,-9.911847650088271,25.895531,119.99932734138974,0.8000510915709975,-4.986528998187308e-07,0.2791644303625377,-12.555431958912386,0.035499647524289094,-23781.072878446626,3052.3330072814297,0.0004656684809820242
