case,variant,part,time,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,distance_to_top_platen,distance_to_bottom_platen,distance_to_lateral_boundary,distance_to_edge_corner,region,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm
CaseM3l_BaselineDense,baseline,6,0.001005,160,-1,1,-0.030000756,1.6161328e-14,0.009999997,0.030000756,1.0000252,0.09999997,0.09000000300000001,0.009999997,-7.560000000010614e-07,0.009999997028576808,edge_ring,85,66,0.01000000400242,8.31601562753471,0.6407957785720327,0.001084068777995578,0.041912846,-27926256.0,-20244.42217367,-13.215137,-2.9556055666666663,25.34694304420722,-8.57588824776559,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556158,0.0,0.37390975,132.2435221838996,0.783163,-0.0008855216569209809,0.03165359611469062,0.06763473829119974,0.04871228320061555
CaseM3l_BaselineDense,baseline,6,0.001005,204,-1,1,-0.020000296,4.3128824e-14,0.010000013,0.020000296,0.6666765333333334,0.10000012999999999,0.089999987,0.010000013,0.009999703999999998,0.01414193551419978,edge_ring,122,95,0.00999998994918745,12.01395266261103,0.9257426266342412,0.00042619696850578886,0.043204997,-28763492.0,-22691.59638106,-12.712399,-4.415033,25.804062143303796,-5.844591001540373,119.9977,0.80005389,-1.7053248e-06,1.7668332e-06,0.0,0.0,-4.4150434,1.7668332e-06,0.37390975,132.2435221838996,0.783163,-0.002080763215579851,0.021418023775573003,0.043785948599404365,0.031165090344983243
CaseM3l_BaselineDense,baseline,6,0.001005,205,-1,1,-0.02000029,-8.5403901e-15,0.020000003,0.02000029,0.6666763333333334,0.20000002999999997,0.079999997,0.020000003,0.009999709999999998,0.02236055276785681,lateral_surface,122,113,0.009999990000001797,12.01397366072592,0.9257442446571,0.0003966796541178195,0.034879915,-23219268.0,-21866.87280724,-14.003681,-2.849514133333333,25.598815453776602,-8.983572025253078,119.9985,0.80005276,-1.1101752e-06,1.1510039e-06,0.0,0.0,-2.849524,1.1510039e-06,0.37390975,132.2435221838996,0.783163,-0.001256503517728672,0.01968971879542563,0.04014756868522364,0.028545182026731234
CaseM3l_BaselineDense,baseline,6,0.001005,206,-1,1,-0.020000292,-3.757945e-14,0.029999999,0.020000292,0.6666764000000001,0.29999999,0.070000001,0.029999999,0.009999708,0.03162268331570338,lateral_surface,122,122,0.0099999960000002,12.013996795147529,0.9257460272944074,0.00040278267001360067,0.028998548,-19305312.0,-20722.77321342,-14.426843,-1.8316252333333332,24.628001106230176,-13.445982648650366,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316354,0.0,0.37390975,132.2435221838996,0.783163,-0.0013142611221934708,0.018177073321717897,0.036757591561597705,0.02610861724176579
CaseM3l_BaselineDense,baseline,6,0.001005,215,-1,1,-0.020000389,0.01000028,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.089999991,0.010000009,0.007638847072887298,0.012583805648651757,edge_ring,115,90,0.009999988143281052,11.035861890551617,0.8503752312531271,0.0006625133858998034,0.040608745,-27050678.0,-20984.25711638,-13.103379,-3.5000523333333327,25.755479582094583,-7.358598423460122,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000622,0.0,0.37390975,132.2435221838996,0.783163,-0.001539461166822875,0.02549217034970353,0.052840338820434714,0.03806933603987745
CaseM3l_BaselineDense,baseline,6,0.001005,216,-1,1,-0.020000385,0.010000277,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.079999999,0.020000001,0.0076388519922398895,0.021409159249240695,lateral_surface,115,107,0.00999999200000125,11.035884022555244,0.8503769366484908,0.0006367211278518925,0.033584651,-22372542.0,-20306.36852649,-15.215137,-0.7869850999999995,24.905542968740534,-31.64677827920827,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699493,0.0,0.37390975,132.2435221838996,0.783163,-0.001079622273726636,0.024365906300598324,0.05034279342790082,0.03595856168411374
CaseM3l_BaselineDense,baseline,6,0.001005,225,-1,1,-0.020000558,0.020000558,-1.6089261e-08,0.028285060378629708,0.9428353459543236,-1.6089261e-07,0.10000001608926101,-1.6089261e-08,0.0017149396213702907,0.001714939621445764,edge_ring,88,56,0.0100000130892619,8.022114622473469,0.6181490530490851,0.0011129175215581044,0.032592107,-21742358.0,-14936.04299058,-13.948178,-1.8814711000000006,35.05128298774778,-18.629721704334322,119.99983,0.80004817,-1.2447686e-07,1.3347424e-07,0.0,0.0,-1.8814811,1.3347424e-07,0.37390975,132.2435221838996,0.783163,0.0007452775242946514,0.03307496334865911,0.07142662845561067,0.05150700176153492
CaseM3l_BaselineDense,baseline,6,0.001005,226,-1,1,-0.020000555,0.020000555,0.009999997,0.028285056135989018,0.9428352045329673,0.09999997,0.09000000300000001,0.009999997,0.0017149438640109808,0.010145983069999571,edge_ring,94,75,0.010000004002624399,8.027980380725689,0.61860104271511,0.001082639076125905,0.040063191,-26701486.0,-19350.99811465,-14.687733,-0.9666909333333328,27.838829713412284,-28.79806642793136,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96670103,0.0,0.37390975,132.2435221838996,0.783163,-0.0007392189283363028,0.03369783216456576,0.07264587965008361,0.05221023104660023
CaseM3l_BaselineDense,baseline,6,0.001005,270,-1,1,-0.010000035,-2.4947063e-14,0.01000002,0.010000035,0.3333345,0.1000002,0.08999998000000001,0.01000002,0.019999965,0.022360657414343277,bottom_cap_zone,153,121,0.009999985000000801,12.93593317406033,0.9967864108361641,0.00010933290654977483,0.042827226,-28529650.0,-21506.69455184,-13.036407,-4.184969333333334,25.888131270350836,-6.1859787272875675,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849794,0.0,0.37390975,132.2435221838996,0.783163,-0.0032949794298668287,0.022949280828018493,0.046380029132688794,0.03280479362098133
CaseM3l_BaselineDense,baseline,6,0.001005,271,-1,1,-0.010000031,-3.1603094e-14,0.020000005,0.010000031,0.33333436666666666,0.20000005,0.079999995,0.020000005,0.019999969,0.02828425286269705,interior,153,144,0.009999985000000801,12.935941303395738,0.9967870372471819,5.4967864378333914e-05,0.038017966,-25330684.0,-21241.11399276,-14.175667,-3.1187086666666666,25.982495553411503,-8.331171112940817,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187186,0.0,0.37390975,132.2435221838996,0.783163,-0.0015548888212417547,0.020376801058767213,0.04099844296835253,0.029017302461478586
CaseM3l_BaselineDense,baseline,6,0.001005,272,-1,1,-0.010000032,-6.4334134e-15,0.029999999,0.010000032,0.33333440000000003,0.29999999,0.070000001,0.029999999,0.019999968,0.03605549417219275,interior,153,153,0.009999994000000048,12.93595167939237,0.9967878367760834,5.1907567068960985e-05,0.035275787,-23506980.0,-20709.71739483,-14.67948,-1.7809183666666677,24.698477705518435,-13.868394064432275,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809285,0.0,0.37390975,132.2435221838996,0.783163,-0.0018582487212418669,0.017325517987050926,0.03483039639342658,0.024655675950567293
CaseM3l_BaselineDense,baseline,6,0.001005,281,-1,1,-0.010000105,0.010000105,0.010000018,0.014142284116155002,0.4714094705385001,0.10000018,0.089999982,0.010000018,0.015857715883845,0.018747466843631804,bottom_cap_zone,145,114,0.009999987000001601,12.633798281146703,0.9735052179416578,0.00022574626751234827,0.04267282,-28421316.0,-21835.96031513,-12.967576,-4.197807666666668,26.49444293962278,-6.311495200222236,119.99934,0.80005151,-4.8932708e-07,5.0790743e-07,0.0,0.0,-4.1978178,5.0790743e-07,0.37390975,132.2435221838996,0.783163,-0.0028299419860323516,0.021597601234111342,0.04376245268790195,0.03096075179785704
CaseM3l_BaselineDense,baseline,6,0.001005,282,-1,1,-0.010000101,0.010000101,0.020000005,0.014142278459300753,0.4714092819766918,0.20000005,0.079999995,0.020000005,0.015857721540699247,0.025523862020908627,interior,145,136,0.009999987000001601,12.633811637591833,0.9735062471308801,0.00019016239035816315,0.036411408,-24254422.0,-21326.24669568,-14.14831,-2.953825,26.327687412694,-8.913083006845023,119.99969,0.80005103,-2.2951713e-07,2.3841629e-07,0.0,0.0,-2.9538352,2.3841629e-07,0.37390975,132.2435221838996,0.783163,-0.0013141646571717678,0.019317133851619907,0.03915773166651258,0.027751747101441158
CaseM3l_BaselineDense,baseline,6,0.001005,283,-1,1,-0.010000102,0.010000102,0.029999999,0.014142279873514314,0.4714093291171438,0.29999999,0.070000001,0.029999999,0.015857720126485685,0.03393327611077289,interior,145,145,0.009999994000000099,12.63382711893408,0.9735074400553769,0.00019200642342872266,0.032409843,-21592384.0,-20548.64280717,-14.87394,-1.3833718333333345,24.910024761539354,-18.006745663974414,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833817,0.0,0.37390975,132.2435221838996,0.783163,-0.0016311188967628877,0.016744088767627972,0.03379405056524738,0.023958363012391234
CaseM3l_BaselineDense,baseline,6,0.001005,292,-1,1,-0.01000028,0.020000389,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.089999991,0.010000009,0.007638847072887298,0.012583805648651757,edge_ring,115,90,0.00999998814327605,11.035861890547457,0.8503752312528066,0.0006625134868509751,0.040608756,-27050684.0,-20984.26093694,-13.10338,-3.5000509999999996,25.755479611619005,-7.3586012351302905,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000608,0.0,0.37390975,132.2435221838996,0.783163,-0.0015394610249785383,0.025492172375462845,0.05284034387438313,0.03806933993204442
