z,z_norm,analytical_initial_excess,saved_frame0_excess,analytical_t0p1_excess,fd_t0p1_excess,gpu_mode0_t0p1_excess_approx,gpu_mode1_t0p1_excess
0.49999999995,0.5,10156.4784534,0,10100.5028776,10099.6209542,10164.871806,9993.43484381
0.506599999951,0.506666666667,10021.0587407,0,9969.37325414,9968.51034045,10035.9899823,9865.31467526
0.513199999951,0.513333333333,9885.639028,0,9837.94698632,9837.10862488,9906.59412728,9736.74719256
0.519799999952,0.52,9750.21931529,0,9706.24189111,9705.43261264,9776.9459582,9607.7222835
0.526399999953,0.526666666667,9614.79960258,0,9574.27492752,9573.48693659,9647.05131893,9478.41586508
0.532999999953,0.533333333333,9479.37988987,0,9442.06222208,9441.29990374,9516.80230438,9348.685873
0.539599999954,0.54,9343.96017716,0,9309.61909487,9308.88596376,9385.8138793,9218.58283122
0.546199999955,0.546666666667,9208.54046444,0,9176.96008576,9176.24948301,9254.61035027,9088.23679787
0.552799999955,0.553333333333,9073.12075173,0,9044.09898082,9043.41429841,9123.22378975,8957.50507759
0.559399999956,0.56,8937.70103902,0,8911.04883889,8910.3927289,8991.59660289,8826.4618487
0.565999999957,0.566666666667,8802.28132631,0,8777.82201809,8777.18879734,8859.73463353,8695.20856777
0.572599999957,0.573333333333,8666.86161359,0,8644.43020229,8643.82242533,8727.49491352,8563.61353864
0.579199999958,0.58,8531.44190088,0,8510.88442742,8510.30402752,8594.7856285,8431.73963884
0.585799999959,0.586666666667,8396.02218817,0,8377.19510751,8376.63723905,8461.97713551,8299.67462763
0.592399999959,0.593333333333,8260.60247546,0,8243.37206052,8242.83858475,8329.16864253,8167.30791944
0.59899999996,0.6,8125.18276274,0,8109.42453371,8108.91679667,8195.67333353,8034.71276487
0.605599999961,0.606666666667,7989.76305003,0,7975.36122867,7974.87510417,8062.01168106,7901.94762149
0.612199999961,0.613333333333,7854.34333732,0,7841.1903259,7840.72711244,7928.35002859,7768.88259258
0.618799999962,0.62,7718.92362461,0,7706.91950881,7706.48008314,7794.60613606,7635.63100957
0.625399999963,0.626666666667,7583.50391189,0,7572.55598724,7572.1368417,7660.71337645,7502.23338973
0.631999999963,0.633333333333,7448.08419918,0,7438.10652041,7437.70850656,7526.48295098,7368.56752222
0.638599999964,0.64,7312.66448647,0,7303.57743919,7303.201068,7391.81917657,7234.72647812
0.645199999965,0.646666666667,7177.24477376,0,7168.97466781,7168.61696386,7257.01997812,7100.74380767
0.651799999965,0.653333333333,7041.82506104,0,7034.30374488,7033.96521344,7122.22077966,6966.52169295
0.658399999966,0.66,6906.40534833,0,6899.56984376,6899.25071892,6987.21075056,6832.15447629
0.664999999967,0.666666666667,6770.98563562,0,6764.7777922,6764.47555683,6852.06145014,6697.66156806
0.671599999967,0.673333333333,6635.56592291,0,6629.93209134,6629.64699004,6716.69347871,6562.92968404
0.678199999968,0.68,6500.14621019,0,6495.03693399,6494.76899873,6581.12052046,6428.06402155
0.684799999969,0.686666666667,6364.72649748,0,6360.0962222,6359.84333047,6445.40829089,6293.07578264
0.691399999969,0.693333333333,6229.30678477,0,6225.11358412,6224.87579122,6309.47154646,6157.87213392
0.69799999997,0.7,6093.88707206,0,6090.09239023,6089.86958734,6173.33565907,6022.55717542
0.704599999971,0.706666666667,5958.46735935,0,5955.03576875,5954.82617304,6037.11452814,5887.12968616
0.711199999971,0.713333333333,5823.04764663,0,5819.94662048,5819.75015596,5900.89339722,5751.4762057
0.717799999972,0.72,5687.62793392,0,5684.82763293,5684.64409921,5764.47896717,5615.72681638
0.724399999973,0.726666666667,5552.20822121,0,5549.68129373,5549.50919996,5627.92526578,5479.87271006
0.730999999973,0.733333333333,5416.7885085,0,5414.5099035,5414.34908851,5491.13536186,5343.81169374
0.737599999974,0.74,5281.36879578,0,5279.31558796,5279.16579818,5354.15800266,5207.65963654
0.744199999975,0.746666666667,5145.94908307,0,5144.10030952,5143.96030448,5217.08371226,5071.40372522
0.750799999975,0.753333333333,5010.52937036,0,5008.8658782,5008.73544724,5080.00942184,4934.97038359
0.757399999976,0.76,4875.10965765,0,4873.61396201,4873.49282736,4942.75351999,4798.44047587
0.763999999977,0.766666666667,4739.68994493,0,4738.34609672,4738.23323203,4805.41847272,4661.79163242
0.770599999977,0.773333333333,4604.27023222,0,4603.06369513,4602.95886697,4668.24392272,4524.99295295
0.777199999978,0.78,4468.85051951,0,4467.76805576,4467.67098329,4530.78075361,4388.10472632
0.783799999979,0.786666666667,4333.4308068,0,4332.46037109,4332.37021037,4393.10761428,4251.0983606
0.790399999979,0.793333333333,4198.01109408,0,4197.14173526,4197.05824941,4255.1801644,4113.95676425
0.79699999998,0.8,4062.59138137,0,4061.81315132,4061.73607107,4117.2527145,3976.73151021
0.803599999981,0.806666666667,3927.17166866,0,3926.47553808,3926.40417425,3979.30103251,3839.38940463
0.810199999981,0.813333333333,3791.75195595,0,3791.12973641,3791.06386196,3841.08919611,3701.92666572
0.816799999982,0.82,3656.33224323,0,3655.7765153,3655.71588204,3702.71385631,3564.38699083
0.823399999983,0.826666666667,3520.91253052,0,3520.41657741,3520.36062691,3564.21763343,3426.73386097
0.829999999983,0.833333333333,3385.49281781,0,3385.05056425,3384.99908788,3425.72141054,3288.97686132
0.836599999984,0.84,3250.0731051,0,3249.67906115,3249.63183736,3287.22518766,3151.14977467
0.843199999985,0.846666666667,3114.65339239,0,3114.3026017,3114.25918206,3148.71642037,3013.21208585
0.849799999985,0.853333333333,2979.23367967,0,2978.92167206,2978.88187133,3009.93581099,2875.18239872
0.856399999986,0.86,2843.81396696,0,2843.53671485,2843.50034081,2871.15520161,2737.09004087
0.862999999987,0.866666666667,2708.39425425,0,2708.14813285,2708.11482929,2732.36789166,2598.89488338
0.869599999987,0.873333333333,2572.97454154,0,2572.75629239,2572.72589988,2593.30289578,2460.60832729
0.876199999988,0.88,2437.55482882,0,2437.36152651,2437.33388278,2454.2378999,2322.26772752
